job_title,company_name,job_type,location,experience_years,skills
Warehouse Manager,Audio Technology -,On-site,Heliopolis,· 10 - 15,[Warehouse Manager] [Manager] [Logistics/Supply Chain] [Operations/Management] [Supply Chain] [Warehouse Management] [Warehouse] [Warehousing] [Logistics] [Operations]
Senior NET Developer,Confidential -,On-site,Sheikh Zayed,· 3 - 7,[Senior NET Developer] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [DevOps] [Software Development] [ASP.Net Web API] [Web Development] [developer] [senior] [Software] [software developer]
Google Cloud Engineer,Cloud11 -,Hybrid,Cairo,· 1 - 3,[Google Cloud Engineer] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [AWS] [API] [Cloud Computing] [Computer Science] [Google cloud] [Information Technology (IT)] [Python] [Azure]
Senior Google workspace Engineer,Cloud11 -,Hybrid,Cairo,· 2 - 4,[Senior Google workspace Engineer] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [Engineering - Mechanical/Electrical] [Communication] [Integration] [Security] [Troubleshooting] [Engineering] [Computer Science] [Automation]
IT Technical Support Representative,CLS Learning Solutions -,On-site,Nasr City,· 3 - 5,[IT Technical Support Representative] [Experienced] [Installation/Maintenance/Repair] [IT/Software Development] [Engineering - Telecom/Technology] [IT Technical Support] [IT Technical] [Information Technology (IT)] [Computer Science] [CISCO] [Information Security] [MCSA]
Android Developer (Kotlin),Confidential -,Hybrid,Cairo,· 4 - 6,[Android Developer (Kotlin)] [Experienced] [IT/Software Development] [Android SDK] [Android] [Information Technology (IT)] [Oracle] [JSON] [Kotlin] [Software Development] [Mobile Development] [Computer Science]
Mobile Application Developer (Flutter ),Al Ateeq Software -,On-site,Heliopolis,· 4 - 10,[Mobile Application Developer (Flutter )] [Experienced] [Creative/Design/Art] [IT/Software Development] [Engineering - Telecom/Technology] [Mobile Development] [Computer Science] [Development] [Information Technology (IT)] [OOP] [Software] [Software Development]
Senior Sales Account Manager,Datum International Data Systems  -,On-site,Cairo,· 4+,[Senior Sales Account Manager] [Experienced] [Customer Service/Support] [IT/Software Development] [Sales/Retail] [Customer Service] [English] [excel] [Microsoft Office] [sales skills] [IT Sales]
Technical Support Engineer,Datum International Data Systems  -,On-site,Heliopolis,· 2 - 3,[Technical Support Engineer] [Experienced] [Installation/Maintenance/Repair] [IT/Software Development] [Engineering - Telecom/Technology] [Technical Support] [Information Technology (IT)] [Engineering] [Customer Care] [Maintenance] [Troubleshooting] [Hardware]
Internal Auditor,Jadara developments and investment  -,On-site,Obour City,· 3 - 5,[Internal Auditor] [Experienced] [Accounting/Finance] [Accounting] [Auditing] [analytical] [Accounting Software] [auditor] [Internal auditor] [Procedures]
IT Help Desk,PET for Packaging   -,On-site,10th of Ramadan City,· 0 - 1,[IT Help Desk] [Entry Level] [Installation/Maintenance/Repair] [IT/Software Development] [Engineering - Telecom/Technology] [Information Technology (IT)] [Help Desk] [Computer Science]
Microsoft System Administrator in New Administrative Capital,Techno Management -,On-site,Nasr City,· 3 - 5,[Microsoft System Administrator in New Administrative Capital] [Experienced] [Installation/Maintenance/Repair] [IT/Software Development] [Engineering - Telecom/Technology] [Microsoft SQL Server] [Installation] [Configuration] [Troubleshooting]
Application Support Engineer in New Administrative Capital,Techno Management -,On-site,New Capital,· 2 - 5,[Application Support Engineer in New Administrative Capital] [Experienced] [Installation/Maintenance/Repair] [IT/Software Development] [Application Support] [Application Support Engineer] [Customer Service] [Support] [Support engineer] [Technical Support]
Office Manager and HR Recruitment Specialist - New Cairo,Spark Systems -,On-site,New Cairo,· 1 - 3,[Office Manager and HR Recruitment Specialist - New Cairo] [Experienced] [Administration] [Human Resources] [IT/Software Development] [Business Administration] [Human Resources] [Human Resources (HR)] [Personnel] [Interviewing] [HR] [business]
Procurement Engineer,Jadara developments and investment  -,On-site,Obour City,· 3 - 5,[Procurement Engineer] [Manager] [Engineering - Construction/Civil/Architecture] [Purchasing/Procurement] [Engineering - Mechanical/Electrical] [Engineering] [Procurement] [Purchasing]
Sr.Technical Support Engineer,Midea Group -,On-site,6th of October,· 4 - 7,[Sr.Technical Support Engineer] [Experienced] [Installation/Maintenance/Repair] [IT/Software Development] [Engineering - Telecom/Technology] [Computer Science] [Engineering] [Information Technology (IT)] [IT] [Hardware] [Maintenance] [Technical Support]
Audit Manager,Confidential -,On-site,Cairo,· 8+,[Audit Manager] [Manager] [Quality] [Audit] [Auditing] [Compliance] [Audits] [CPA] [Management]
